Año de Fecha,Tipo Huevo,Canal,Ciudad ,Uds,Prom. Uds,Precio Full,Precio,Costo Pcc ,Empaque ,Clasificación ,Almacenamiento,1era Milla,Admon UM/Huevo,Log UM Veh,Total Ccial UM,Ccial UM,Mercaderismo,Staff ,Mercadeo ,Otros G.Venta,Admon ,Depreciaciones,Dev Total ,Averías Post Entrega,EBITDA (Ccial Ajustado)/Huevo,Mg. Ebitda Ccial,Prom. Dias Cartera,Cartera,Ebitda (Cartera),Mg Ebitda.
2025,AA,TAT,POPAYAN,"20,175,884","3,362,647",425.78,425.78,290,9.95,16.39,3.77,12.41,7.54,6.48,20.3,20.3,0,1.33,4.48,5.62,21.15,8.36,0,0,34.72,0.08,0,0,35.65,0.08
2025,AA,TAT,SANTA MARTA,"2,167,461","361,244",483.98,483.98,290.29,20.59,18.31,3.79,22.52,8.14,8.83,21.16,21.16,0,1.42,4.85,6.03,22.47,8.38,0.01,0,63.95,0.13,0,0,64.1,0.13
2025,AA,TAT,SINCELEJO,"2,184,597","364,100",410.05,410.05,289.61,8.59,15.83,3.75,30.69,28.11,2.8,35.93,35.93,0,1.32,4.54,5.6,21.16,8.36,0,0,-29.52,-0.07,0,0,-21.81,-0.05
2025,AA,TAT,VALLEDUPAR,"305,528","50,921",527.99,527.99,289.76,47,23.74,3.77,22.63,8.8,8.98,22.32,22.32,0,1.66,5.64,7.16,26.59,8.36,0,0,68.27,0.13,0,0,68.49,0.13
2025,AA,TAT,VILLAVICENCIO,"728,975","145,795",367.46,367.46,287.21,8.8,16.17,3.72,10.14,74.55,0,85.14,85.14,0,1.35,4.33,5.91,22.66,8.46,0,0,-144.07,-0.39,0,0,-104.05,-0.28
2025,AAA,AU ESP,BARRANQUILLA,"195,630","32,605",781.26,733.99,289.91,50.36,24.31,3.78,19.67,11.07,34.04,29.09,23.1,5.99,5.15,7.47,13.58,35.23,8.37,1.05,5.3,212.33,0.29,28,5.01,206.21,0.28
2025,AAA,AU ESP,BOGOTA,"1,320,300","220,050",770.06,713.64,290.01,50.3,24.39,3.77,23.18,12.25,32.27,59.08,27.41,31.67,5.21,7.49,13.58,35.16,8.37,0.18,13.59,151.54,0.21,21,6.86,148.46,0.21
2025,AAA,AU ESP,BUCARAMANGA,"325,845","54,308",770,739.49,290.21,50.42,24.26,3.79,6.69,8,31.34,55.37,8.65,46.72,5.14,7.61,13.45,34.86,8.35,0.14,45.97,170.6,0.23,40,24.28,140.83,0.19
2025,AAA,AU ESP,CALI,"902,085","150,348",770,683.95,291.03,50.3,24.4,3.78,8.47,15.99,25.66,45.26,14.3,30.95,7.59,10.24,20.71,52.98,8.38,0.06,16.47,119.39,0.17,8,11.41,109.09,0.16
2025,AAA,AU ESP,CARTAGENA,"273,229","45,538",782.3,742.32,290.15,50.35,24.37,3.79,26.4,13.82,15.22,24.75,6.38,18.37,5.2,7.53,13.54,34.98,8.37,4.19,1.05,235.33,0.32,19,4.27,231.69,0.31
